 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
      1760.0000    -4794.37757   -4719.38766      74.98991        4.51905   -4718.03980     403.73052
      1770.0000    -4795.38677   -4720.49386      74.89291        4.49929   -4720.52931     397.28440
      1780.0000    -4792.23682   -4717.71310      74.52371        4.49956   -4720.49601     397.65812
      1790.0000    -4790.81859   -4721.56517      69.25343        4.50765   -4719.47665     400.27476
      1800.0000    -4793.73779   -4722.92531      70.81248        4.48574   -4722.23722     393.08180
      1810.0000    -4791.82897   -4718.27006      73.55891        4.51974   -4717.95231     404.04091
      1820.0000    -4793.77398   -4719.64650      74.12748        4.49734   -4720.77548     396.92854
      1830.0000    -4790.85867   -4714.74652      76.11215        4.53350   -4716.21764     408.26972
      1840.0000    -4795.10697   -4720.99846      74.10851        4.51633   -4718.38156     402.97804
      1850.0000    -4793.93678   -4723.21439      70.72239        4.49992   -4720.45072     397.76366
      1860.0000    -4793.39276   -4719.46259      73.93017        4.49133   -4721.53263     394.88474
      1870.0000    -4794.68577   -4723.53539      71.15038        4.49829   -4720.65561     397.21200
      1880.0000    -4793.88615   -4719.69960      74.18654        4.49694   -4720.82575     396.76003
      1890.0000    -4790.88724   -4717.71185      73.17539        4.51202   -4718.92577     401.63959
      1900.0000    -4789.76000   -4717.02927      72.73072        4.51855   -4718.10239     403.68515
      1910.0000    -4793.75666   -4718.03031      75.72635        4.52300   -4717.54088     405.28485
      1920.0000    -4791.96136   -4720.78867      71.17269        4.50657   -4719.61265     399.83825
      1930.0000    -4793.13343   -4719.65720      73.47623        4.49669   -4720.85782     396.69545
      1940.0000    -4794.06660   -4719.81139      74.25521        4.48812   -4721.93739     393.86057
      1950.0000    -4792.26881   -4718.76936      73.49945        4.51325   -4718.77049     401.84400
      1960.0000    -4792.72330   -4719.50373      73.21958        4.51486   -4718.56747     402.71214
      1970.0000    -4792.05649   -4722.42101      69.63548        4.49895   -4720.57216     397.38908
      1980.0000    -4790.86523   -4717.82464      73.04060        4.50942   -4719.25344     400.74762
      1990.0000    -4791.98111   -4720.29088      71.69023        4.50645   -4719.62723     399.88176
      2000.0000    -4793.75417   -4719.24147      74.51270        4.48940   -4721.77683     394.33116
      2010.0000    -4786.55206   -4705.34016      81.21190        4.59311   -4708.70513     427.60230
      2020.0000    -4781.79408   -4700.01036      81.78372        4.65191   -4701.29324     445.90475
      2030.0000    -4783.35950   -4698.32348      85.03602        4.67137   -4698.84159     452.02336
      2040.0000    -4781.62590   -4696.48709      85.13881        4.68487   -4697.13936     456.59677
      2050.0000    -4784.06133   -4704.07575      79.98558        4.66452   -4699.70494     450.22692
      2060.0000    -4781.98647   -4700.56743      81.41904        4.63650   -4703.23622     441.19209
      2070.0000    -4783.23362   -4701.76526      81.46835        4.64886   -4701.67793     445.04955
      2080.0000    -4781.65392   -4701.43165      80.22227        4.65068   -4701.44878     445.67231
      2090.0000    -4785.35710   -4701.03330      84.32380        4.65926   -4700.36770     448.50872
      2100.0000    -4780.54736   -4696.78177      83.76559        4.65953   -4700.33341     448.31730
      2110.0000    -4779.72077   -4694.19763      85.52314        4.67068   -4698.92794     452.23848
      2120.0000    -4784.51031   -4701.24771      83.26261        4.67070   -4698.92552     451.92220
      2130.0000    -4781.01709   -4697.36049      83.65661        4.65445   -4700.97360     447.00344
      2140.0000    -4783.28377   -4702.00869      81.27508        4.63768   -4703.08754     441.90576
      2150.0000    -4781.56489   -4703.96239      77.60250        4.64335   -4702.37304     443.61803
      2160.0000    -4783.63609   -4700.79615      82.83994        4.65469   -4700.94299     447.01412
      2170.0000    -4784.96887   -4702.45553      82.51334        4.65412   -4701.01483     446.62900
      2180.0000    -4783.24242   -4699.22525      84.01717        4.65803   -4700.52241     448.13323
      2190.0000    -4782.51778   -4701.25919      81.25859        4.63551   -4703.36033     440.85029
      2200.0000    -4783.66011   -4701.84921      81.81090        4.64421   -4702.26485     443.77966
      2210.0000    -4784.90832   -4702.25228      82.65603        4.64842   -4701.73390     444.91535
      2220.0000    -4781.03520   -4697.85874      83.17645        4.66778   -4699.29373     451.08290
      2230.0000    -4782.23367   -4697.69140      84.54227        4.67474   -4698.41686     453.02854
      2240.0000    -4783.41586   -4699.07545      84.34041        4.68112   -4697.61245     455.34364
      2250.0000    -4782.02104   -4698.15470      83.86634        4.68866   -4696.66242     457.65897
